model;features;tree_constraints;cross_constraints;valid;invalid
MobileMedia_Pedro_Pires;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_6_7_8], FeatureId[_r_6_7_9], FeatureId[_r_11], FeatureId[_r_11_12], FeatureId[_r_11_12_13], FeatureId[_r_11_12_14], FeatureId[_r_11_15], FeatureId[_r_11_16], FeatureId[_r_11_16_17], FeatureId[_r_11_16_18]];11;0;140;65396
MobileMedia_HudsonSilvaBorges;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_8_9], FeatureId[_r_1_8_10], FeatureId[_r_1_8_11], FeatureId[_r_2], FeatureId[_r_2_12], FeatureId[_r_2_12_17], FeatureId[_r_2_12_18], FeatureId[_r_2_13], FeatureId[_r_2_14], FeatureId[_r_2_14_15], FeatureId[_r_2_14_16], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6]];11;0;140;65396
Henrique Gomes Nunes;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_17_18], FeatureId[_r_1_17_19], FeatureId[_r_1_17_20], FeatureId[_r_2], FeatureId[_r_2_13], FeatureId[_r_2_13_17], FeatureId[_r_2_13_18], FeatureId[_r_2_16], FeatureId[_r_2_16_19], FeatureId[_r_2_16_20], FeatureId[_r_2_22], FeatureId[_r_3], FeatureId[_r_3_21_22], FeatureId[_r_3_21_23]];11;0;140;65396
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_19], FeatureId[_r_2_8_20], FeatureId[_r_2_9], FeatureId[_r_2_16], FeatureId[_r_2_16_17], FeatureId[_r_2_16_18], FeatureId[_r_3], FeatureId[_r_3_11_12], FeatureId[_r_3_11_13]];10;0;280;65256
pruebapalabras;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_3_8], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_1_2_5_7], FeatureId[_r_9], FeatureId[_r_9_10_11], FeatureId[_r_9_10_12], FeatureId[_r_13], FeatureId[_r_13_14_15], FeatureId[_r_13_14_16], FeatureId[_r_13_14_17]];11;0;72;16312
PhysEval;[FeatureId[_r], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_12], FeatureId[_r_14], FeatureId[_r_21], FeatureId[_r_22_23], FeatureId[_r_22_24], FeatureId[_r_22_24_26], FeatureId[_r_22_25], FeatureId[_r_22_25_27], FeatureId[_r_22_25_28], FeatureId[_r_22_25_29], FeatureId[_r_22_25_30]];10;1;54;16330
aaaaaa;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_13], FeatureId[_r_14]];7;1;32;4064
historioa clinica;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6], FeatureId[_r_3_4_7], FeatureId[_r_3_8], FeatureId[_r_3_8_9], FeatureId[_r_3_8_10], FeatureId[_r_3_8_11], FeatureId[_r_3_8_12], FeatureId[_r_3_8_12_13], FeatureId[_r_3_14], FeatureId[_r_3_14_15], FeatureId[_r_3_14_16], FeatureId[_r_3_14_17], FeatureId[_r_3_18], FeatureId[_r_3_18_19], FeatureId[_r_3_18_20], FeatureId[_r_3_21]];15;0;48;1048528
JhotDrawn;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3], FeatureId[_r_1_3_6_7], FeatureId[_r_1_3_6_8], FeatureId[_r_1_3_6_9], FeatureId[_r_1_3_6_10], FeatureId[_r_1_3_6_11], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_1_15], FeatureId[_r_2], FeatureId[_r_2_12_13], FeatureId[_r_2_12_14]];6;0;1028;15356
Mobile  Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_19], FeatureId[_r_1_20], FeatureId[_r_1_21], FeatureId[_r_2], FeatureId[_r_2_10], FeatureId[_r_2_10_22], FeatureId[_r_2_10_23], FeatureId[_r_2_12], FeatureId[_r_2_13], FeatureId[_r_2_13_24], FeatureId[_r_2_13_25], FeatureId[_r_3], FeatureId[_r_3_18_19], FeatureId[_r_3_18_20]];13;2;15;65521
modelo celular;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_19], FeatureId[_r_1_20], FeatureId[_r_1_21], FeatureId[_r_2], FeatureId[_r_2_8_9], FeatureId[_r_2_8_10], FeatureId[_r_7], FeatureId[_r_7_12], FeatureId[_r_7_12_15], FeatureId[_r_7_12_16], FeatureId[_r_7_13], FeatureId[_r_7_14], FeatureId[_r_7_14_17], FeatureId[_r_7_14_18]];13;2;15;65521
mobile media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_8], FeatureId[_r_8_9], FeatureId[_r_8_9_17], FeatureId[_r_8_9_18], FeatureId[_r_8_10], FeatureId[_r_8_11], FeatureId[_r_8_11_19], FeatureId[_r_8_11_20], FeatureId[_r_12], FeatureId[_r_12_13_14], FeatureId[_r_12_13_15]];12;2;66;65470
MobileMedia7;[FeatureId[_r], FeatureId[_r_16], FeatureId[_r_16_43], FeatureId[_r_16_45], FeatureId[_r_16_48], FeatureId[_r_17], FeatureId[_r_17_31], FeatureId[_r_17_31_34], FeatureId[_r_17_31_35], FeatureId[_r_17_32], FeatureId[_r_17_33], FeatureId[_r_17_33_36], FeatureId[_r_17_33_37], FeatureId[_r_18], FeatureId[_r_18_19_20], FeatureId[_r_18_19_29]];11;2;60;65476
modelo mobilemedia;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_18], FeatureId[_r_1_19], FeatureId[_r_1_20], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_7_17], FeatureId[_r_6_7_18], FeatureId[_r_6_8], FeatureId[_r_6_9], FeatureId[_r_6_9_15], FeatureId[_r_6_9_16], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_13]];13;2;12;65524
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_8_9], FeatureId[_r_1_8_10], FeatureId[_r_1_8_11], FeatureId[_r_2], FeatureId[_r_2_12_13], FeatureId[_r_2_12_14], FeatureId[_r_3], FeatureId[_r_3_20], FeatureId[_r_3_21], FeatureId[_r_3_21_24], FeatureId[_r_3_21_25]];9;2;24;8168
MobileMedia_Lenita;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_21], FeatureId[_r_1_22], FeatureId[_r_1_23], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_10_14], FeatureId[_r_2_10_15], FeatureId[_r_2_11], FeatureId[_r_2_11_12], FeatureId[_r_2_11_13], FeatureId[_r_3], FeatureId[_r_3_16_17]];13;2;6;32762
Mobile  Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_19], FeatureId[_r_1_20], FeatureId[_r_1_21], FeatureId[_r_2], FeatureId[_r_2_10], FeatureId[_r_2_10_22], FeatureId[_r_2_10_23], FeatureId[_r_2_12], FeatureId[_r_2_13], FeatureId[_r_2_13_24], FeatureId[_r_2_13_25], FeatureId[_r_3], FeatureId[_r_3_18_19], FeatureId[_r_3_18_20]];13;2;15;65521
celular;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_4_5], FeatureId[_r_1_6_7], FeatureId[_r_8], FeatureId[_r_8_9_10], FeatureId[_r_8_11_12], FeatureId[_r_8_13_14], FeatureId[_r_15], FeatureId[_r_15_16], FeatureId[_r_15_16_17], FeatureId[_r_15_16_18], FeatureId[_r_15_19], FeatureId[_r_15_20], FeatureId[_r_15_20_21], FeatureId[_r_15_20_22]];16;1;6;131066
Modelo de Celulares;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_19], FeatureId[_r_1_2_20], FeatureId[_r_1_2_21], FeatureId[_r_5], FeatureId[_r_5_13], FeatureId[_r_5_13_16], FeatureId[_r_5_13_17], FeatureId[_r_5_14], FeatureId[_r_5_15], FeatureId[_r_5_15_19], FeatureId[_r_5_15_20], FeatureId[_r_10], FeatureId[_r_10_21_22], FeatureId[_r_10_21_23]];14;2;15;131057
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_26], FeatureId[_r_1_27], FeatureId[_r_1_28], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_18], FeatureId[_r_2_8_20], FeatureId[_r_2_9], FeatureId[_r_2_11], FeatureId[_r_2_11_21], FeatureId[_r_2_11_22], FeatureId[_r_3], FeatureId[_r_3_14_15], FeatureId[_r_3_14_16]];13;2;12;65524
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_30_33], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_15], FeatureId[_r_2_8_16], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_10_17], FeatureId[_r_2_10_18], FeatureId[_r_3], FeatureId[_r_3_11_12], FeatureId[_r_3_11_13]];12;1;6;16378
Mobile  Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_8], FeatureId[_r_1_4_9], FeatureId[_r_2], FeatureId[_r_2_10], FeatureId[_r_2_10_22], FeatureId[_r_2_10_23], FeatureId[_r_2_12], FeatureId[_r_2_13], FeatureId[_r_2_13_24], FeatureId[_r_2_13_25], FeatureId[_r_3], FeatureId[_r_3_18_19], FeatureId[_r_3_18_20], FeatureId[_r_3_18_21]];12;1;126;130946
Estudo Experimental 2;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_23], FeatureId[_r_1_24], FeatureId[_r_1_25], FeatureId[_r_8], FeatureId[_r_8_9], FeatureId[_r_8_9_11], FeatureId[_r_8_9_12], FeatureId[_r_8_13], FeatureId[_r_8_14], FeatureId[_r_8_14_15], FeatureId[_r_8_14_16], FeatureId[_r_18], FeatureId[_r_18_19_20]];13;2;6;32762
Exercicio Experimento 1;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_6], FeatureId[_r_1_2_7], FeatureId[_r_8], FeatureId[_r_8_9], FeatureId[_r_8_9_10], FeatureId[_r_8_9_11], FeatureId[_r_8_12], FeatureId[_r_8_13], FeatureId[_r_8_13_14], FeatureId[_r_8_13_15], FeatureId[_r_16], FeatureId[_r_16_17_18], FeatureId[_r_16_17_19]];11;0;140;65396
User Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_8_9], FeatureId[_r_1_8_10], FeatureId[_r_1_8_11], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_7_12_13], FeatureId[_r_7_12_14], FeatureId[_r_7_12_15]];7;2;144;16240
WebApp;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_8], FeatureId[_r_1_2_9], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_10]];3;0;160;864
Requirements Proces Variability;[FeatureId[_r], FeatureId[_r_17], FeatureId[_r_17_29], FeatureId[_r_17_29_30_31], FeatureId[_r_17_29_30_32], FeatureId[_r_17_33], FeatureId[_r_17_45], FeatureId[_r_18], FeatureId[_r_18_36], FeatureId[_r_18_36_39_40], FeatureId[_r_18_36_39_41], FeatureId[_r_18_43], FeatureId[_r_18_44], FeatureId[_r_19], FeatureId[_r_19_24], FeatureId[_r_19_24_25_26], FeatureId[_r_19_24_25_27], FeatureId[_r_19_28]];12;9;12;262132
Ubuntu;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_13_14], FeatureId[_r_1_13_15], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_10_11], FeatureId[_r_3_10_12], FeatureId[_r_4], FeatureId[_r_4_5_6], FeatureId[_r_4_5_9]];8;1;12;2036
abcdefg;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_8_10], FeatureId[_r_9], FeatureId[_r_9_11]];8;0;6;1018
Analisis;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_7_8], FeatureId[_r_1_7_9], FeatureId[_r_10_11], FeatureId[_r_10_11_27_28], FeatureId[_r_10_11_27_29], FeatureId[_r_10_11_30], FeatureId[_r_10_12], FeatureId[_r_10_13], FeatureId[_r_14], FeatureId[_r_15], FeatureId[_r_16]];10;5;8;8184
Disenio;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_19_23], FeatureId[_r_19_23_26], FeatureId[_r_19_23_27], FeatureId[_r_19_33], FeatureId[_r_19_33_34], FeatureId[_r_19_33_35], FeatureId[_r_19_33_36], FeatureId[_r_19_37]];9;3;4;1020
Pruebas;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_7], FeatureId[_r_7_11_12], FeatureId[_r_7_11_12_14], FeatureId[_r_7_11_12_15], FeatureId[_r_7_11_12_16], FeatureId[_r_7_11_13], FeatureId[_r_7_11_13_17], FeatureId[_r_7_11_13_18], FeatureId[_r_19]];11;7;7;4089
Buzzard Radio play DB;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_4_5], FeatureId[_r_1_2_4_6], FeatureId[_r_7], FeatureId[_r_8_9], FeatureId[_r_8_10], FeatureId[_r_13_14], FeatureId[_r_13_15], FeatureId[_r_13_16], FeatureId[_r_17], FeatureId[_r_18], FeatureId[_r_19], FeatureId[_r_20]];8;1;448;15936
Implementacion;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_4], FeatureId[_r_4_5_6], FeatureId[_r_4_5_7], FeatureId[_r_8_9], FeatureId[_r_8_10], FeatureId[_r_8_12], FeatureId[_r_8_12_13], FeatureId[_r_8_12_14]];7;7;7;2041
OnlineExamPL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_9_11], FeatureId[_r_2_9_12], FeatureId[_r_2_10], FeatureId[_r_2_10_22], FeatureId[_r_2_10_23], FeatureId[_r_2_10_23_17_18], FeatureId[_r_2_10_23_17_19], FeatureId[_r_3], FeatureId[_r_3_20], FeatureId[_r_3_21], FeatureId[_r_4], FeatureId[_r_4_17], FeatureId[_r_4_19], FeatureId[_r_7]];16;1;10;262134
sasgd;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_3_4], FeatureId[_r_1_2_3_4_5], FeatureId[_r_1_2_3_4_10], FeatureId[_r_1_2_8_9], FeatureId[_r_1_12], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_11]];8;0;20;1004
Requisitos II;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_5], FeatureId[_r_5_6_7], FeatureId[_r_5_6_8], FeatureId[_r_5_6_9], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_13], FeatureId[_r_14], FeatureId[_r_14_15_21], FeatureId[_r_14_15_16], FeatureId[_r_14_15_16_17_18], FeatureId[_r_14_15_16_17_19], FeatureId[_r_27], FeatureId[_r_28]];11;4;14;65522
anlisis II;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_18_19], FeatureId[_r_2_18_20], FeatureId[_r_2_18_21], FeatureId[_r_27], FeatureId[_r_28], FeatureId[_r_29], FeatureId[_r_31]];3;3;28;996
disenio II;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_9_10], FeatureId[_r_2_9_13], FeatureId[_r_2_14_15], FeatureId[_r_2_14_16], FeatureId[_r_2_14_17], FeatureId[_r_18], FeatureId[_r_19]];6;1;30;994
Alarm System;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_10], FeatureId[_r_17], FeatureId[_r_17_18_19], FeatureId[_r_17_18_25], FeatureId[_r_22_23], FeatureId[_r_22_26], FeatureId[_r_27_28], FeatureId[_r_27_29]];9;2;42;8150
Pruebas II;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_15], FeatureId[_r_15_16_17], FeatureId[_r_15_16_18], FeatureId[_r_19], FeatureId[_r_19_20_21], FeatureId[_r_19_20_23], FeatureId[_r_24], FeatureId[_r_25], FeatureId[_r_25_26_28], FeatureId[_r_25_26_29]];10;3;12;65524
Imolementacion II;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_5], FeatureId[_r_1_2_6], FeatureId[_r_1_2_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_13]];9;0;3;2045
Basic Car;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_10], FeatureId[_r_11], FeatureId[_r_11_11], FeatureId[_r_11_11_12]];8;2;16;2032
CarExample;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_5_7], FeatureId[_r_5_8], FeatureId[_r_5_9], FeatureId[_r_5_10], FeatureId[_r_5_11]];10;1;3;2045
Flight Reservations;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2_3], FeatureId[_r_2_6], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_10], FeatureId[_r_7_8_11], FeatureId[_r_12], FeatureId[_r_12_13_14], FeatureId[_r_12_13_14_16_17], FeatureId[_r_12_13_14_16_18], FeatureId[_r_12_13_15], FeatureId[_r_12_13_15_19], FeatureId[_r_12_13_15_20]];12;1;126;32642
WebKit overview;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4], FeatureId[_r_1_4_5_6], FeatureId[_r_1_4_5_11], FeatureId[_r_1_4_5_12], FeatureId[_r_1_4_5_13], FeatureId[_r_1_15], FeatureId[_r_1_15_17_18], FeatureId[_r_1_15_17_19], FeatureId[_r_1_15_17_20], FeatureId[_r_2], FeatureId[_r_2_21_22], FeatureId[_r_2_21_23], FeatureId[_r_2_21_24], FeatureId[_r_2_21_19], FeatureId[_r_3], FeatureId[_r_3_25_26], FeatureId[_r_3_25_27]];10;6;87;524201
RST Game;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_1_2_6], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_10], FeatureId[_r_11], FeatureId[_r_11_12_13], FeatureId[_r_11_12_14], FeatureId[_r_15], FeatureId[_r_15_16_17], FeatureId[_r_15_16_19], FeatureId[_r_15_16_21], FeatureId[_r_22], FeatureId[_r_22_23_24], FeatureId[_r_22_23_25]];11;0;1440;522848
Test Collaboration System;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_6_7], FeatureId[_r_2_6_8], FeatureId[_r_3], FeatureId[_r_3_9_10], FeatureId[_r_3_9_11], FeatureId[_r_4], FeatureId[_r_4_12], FeatureId[_r_4_13_14], FeatureId[_r_4_13_15], FeatureId[_r_4_16], FeatureId[_r_5], FeatureId[_r_5_17_18], FeatureId[_r_5_17_19]];9;1;936;64600
notebook;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_10_11], FeatureId[_r_1_10_14], FeatureId[_r_2], FeatureId[_r_2_19], FeatureId[_r_3], FeatureId[_r_3_20_21], FeatureId[_r_3_20_22], FeatureId[_r_4], FeatureId[_r_4_23], FeatureId[_r_4_24], FeatureId[_r_4_27], FeatureId[_r_28], FeatureId[_r_28_29_30], FeatureId[_r_28_29_31]];10;0;96;65440
dfffffffffff;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_7_8], FeatureId[_r_2_7_8_13_14], FeatureId[_r_2_7_8_13_15], FeatureId[_r_2_7_8_13_16], FeatureId[_r_2_7_12], FeatureId[_r_3], FeatureId[_r_3_21_22], FeatureId[_r_3_21_23], FeatureId[_r_3_21_24], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_17_18], FeatureId[_r_17_19], FeatureId[_r_17_20]];10;0;252;261892
Mobile Media Test;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_23], FeatureId[_r_1_24], FeatureId[_r_1_25], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_15], FeatureId[_r_2_8_16], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_10_17], FeatureId[_r_2_10_18], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6]];10;2;48;65488
AA;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4], FeatureId[_r_1_4_9], FeatureId[_r_2], FeatureId[_r_2_5], FeatureId[_r_2_5_8], FeatureId[_r_3], FeatureId[_r_3_6], FeatureId[_r_3_6_7]];8;0;16;1008
teste puc;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_21], FeatureId[_r_3_22], FeatureId[_r_3_23], FeatureId[_r_8], FeatureId[_r_8_9], FeatureId[_r_8_9_19], FeatureId[_r_8_9_20], FeatureId[_r_8_10], FeatureId[_r_8_11], FeatureId[_r_8_11_17], FeatureId[_r_8_11_18], FeatureId[_r_12], FeatureId[_r_12_13_14], FeatureId[_r_12_13_15]];10;1;72;65464
MobileMedia-Bruno-ExpUFMG;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_7], FeatureId[_r_1_8], FeatureId[_r_1_9], FeatureId[_r_2], FeatureId[_r_2_10], FeatureId[_r_2_10_11], FeatureId[_r_2_10_12], FeatureId[_r_2_13], FeatureId[_r_2_14], FeatureId[_r_2_14_15], FeatureId[_r_2_14_16], FeatureId[_r_3], FeatureId[_r_3_17_18], FeatureId[_r_3_17_19]];10;1;48;65488
MobileMedia_mgarnier;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_19], FeatureId[_r_1_20], FeatureId[_r_1_21], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_7_8], FeatureId[_r_6_7_9], FeatureId[_r_6_10], FeatureId[_r_6_11], FeatureId[_r_6_11_12], FeatureId[_r_6_11_13], FeatureId[_r_14], FeatureId[_r_14_15_16], FeatureId[_r_14_15_17]];10;1;48;65488
MobileMedia_Diego;[FeatureId[_r], FeatureId[_r_26], FeatureId[_r_26_32_35], FeatureId[_r_26_32_36], FeatureId[_r_26_32_50], FeatureId[_r_27], FeatureId[_r_27_37_38], FeatureId[_r_27_37_39], FeatureId[_r_41], FeatureId[_r_41_42], FeatureId[_r_41_42_45], FeatureId[_r_41_42_46], FeatureId[_r_41_43], FeatureId[_r_41_44], FeatureId[_r_41_44_47], FeatureId[_r_41_44_48]];10;2;99;65437
MobileMedia_Luciano;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_17], FeatureId[_r_2_8_18], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_10_19], FeatureId[_r_2_10_20], FeatureId[_r_3], FeatureId[_r_3_11_12], FeatureId[_r_3_11_13]];10;2;90;65446
Willian Oizumi - Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_20], FeatureId[_r_1_21], FeatureId[_r_1_22], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_9_16], FeatureId[_r_2_9_17], FeatureId[_r_2_10], FeatureId[_r_2_11], FeatureId[_r_2_11_18], FeatureId[_r_2_11_19], FeatureId[_r_4], FeatureId[_r_4_12_13], FeatureId[_r_4_12_14], FeatureId[_r_4_12_15]];10;1;72;131000
LMF;[FeatureId[_r], FeatureId[_r_16], FeatureId[_r_16_17], FeatureId[_r_16_18], FeatureId[_r_16_18_20], FeatureId[_r_16_25], FeatureId[_r_19], FeatureId[_r_19_21], FeatureId[_r_19_24], FeatureId[_r_22], FeatureId[_r_23], FeatureId[_r_26], FeatureId[_r_27]];12;0;2;8190
Modelo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_3_4_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_7_8], FeatureId[_r_7_8_9_10], FeatureId[_r_7_8_9_10_11]];10;3;4;1020
Gsist;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_10], FeatureId[_r_11], FeatureId[_r_11_12_13], FeatureId[_r_11_12_14], FeatureId[_r_11_15], FeatureId[_r_17], FeatureId[_r_17_18_19], FeatureId[_r_17_18_20], FeatureId[_r_17_18_21], FeatureId[_r_22], FeatureId[_r_23]];12;0;84;130988
SmartPhone Device;[FeatureId[_r], FeatureId[_r_5], FeatureId[_r_9], FeatureId[_r_12], FeatureId[_r_34], FeatureId[_r_34_37_38], FeatureId[_r_34_37_41], FeatureId[_r_42], FeatureId[_r_42_43_44], FeatureId[_r_42_43_47], FeatureId[_r_48], FeatureId[_r_48_49_50], FeatureId[_r_48_49_51], FeatureId[_r_52], FeatureId[_r_52_53_54], FeatureId[_r_52_53_55], FeatureId[_r_52_53_56]];9;2;192;130880
Address Book;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_8], FeatureId[_r_4_9], FeatureId[_r_4_10], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_6_11], FeatureId[_r_6_12], FeatureId[_r_6_13], FeatureId[_r_7]];6;0;72;4024
Sisgeo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_4_15_16], FeatureId[_r_3_4_15_18], FeatureId[_r_3_4_15_19], FeatureId[_r_3_4_15_20], FeatureId[_r_3_4_15_21], FeatureId[_r_3_4_15_22], FeatureId[_r_3_4_15_23], FeatureId[_r_3_5], FeatureId[_r_24], FeatureId[_r_24_25_26], FeatureId[_r_24_25_27], FeatureId[_r_24_25_28]];7;1;1337;64199
Sisgeo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_4_6], FeatureId[_r_3_4_7], FeatureId[_r_3_4_8], FeatureId[_r_3_4_9], FeatureId[_r_3_4_10], FeatureId[_r_3_4_11], FeatureId[_r_3_4_12], FeatureId[_r_3_5]];4;0;257;3839
Wewq;[FeatureId[_r], FeatureId[_r_73], FeatureId[_r_74], FeatureId[_r_75], FeatureId[_r_76], FeatureId[_r_77], FeatureId[_r_78], FeatureId[_r_79], FeatureId[_r_80], FeatureId[_r_81], FeatureId[_r_82], FeatureId[_r_83], FeatureId[_r_84]];13;0;1;8191
